Risa,Yorkshire Terrier,Illiana Rocha,2014-06-07
Kane,Grosspudel,Kenyon Reyes,2011-12-01
Rachel,Deutsch Kurzhaar,Travis Gardner,2015-09-18
Prescott,Labrador Retriever,Stuart Osborne,2018-08-28
Tyrone,Dachshund,Hayes Coleman,2013-10-29
Travis,Malteser,Harrison Webster,2020-09-11
Nissim,Border Collie,Joel Erickson,2019-10-04
Melissa,Bernhardiner,Shaeleigh Frank,2018-06-30
Kane,Berner Sennenhund,Salvador Cole,2018-02-15
Randall,Bearded Collie,Scarlett Roy,2012-10-23
Justin,Franzoesische Bulldogge,Shafira Rocha,2014-11-10
Leigh,Golden Retriever,Irma Albert,2010-12-06
Prescott,Dalmatiner,Nash Coleman,2019-01-17
Camden,Scottish Terrier,Rebecca Mayo,2013-07-26
Griffin,Cocker-Spaniel,Chastity Cervantes,2012-12-31
Eliana,Yorkshire Terrier,Cedric Campbell,2013-01-11
Hillary,Berner Sennenhund,Martha Cline,2016-11-02
Malachi,Yorkshire Terrier,Tasha Hancock,2014-11-11
Garth,Deutscher Schaeferhund,Dorian Velasquez,2014-01-16
Cameron,Dalmatiner,Callie Vincent,2017-12-30
Chelsea,Deutsche Dogge,Ramona Velazquez,2010-08-21
Adam,Bernhardiner,Alexis Floyd,2011-02-14
TaShya,Chihuahua,Kelsey Malone,2017-06-20
Clementine,Deutsche Dogge,Vladimir Mack,2018-03-11
Curran,Cocker-Spaniel,Raven Fields,2014-04-16
Hollee,Deutscher Schaeferhund,Julie Hardin,2015-08-18
John,Labrador Retriever,Cora Cleveland,2017-04-22
Angelica,Rottweiler,Paula Arnold,2015-10-24
Ronan,Kromfohrlaender,Clarke Mitchell,2015-10-21
Zelenia,Bearded Collie,Ronan Campbell,2018-03-09
Josephine,Bernhardiner,Mikayla Barton,2019-05-07
Berk,Irish Terrier,Francis Watkins,2020-11-23
Victor,Bull Terrier,Whitney Drake,2018-11-19
Cailin,Norfolk Terrier,Melissa Dunn,2018-08-01
Andrew,Norfolk Terrier,Cody Gonzalez,2018-03-18
